text,target
"В кінцевому результаті роботою данного інтернет-магазину залишився задоволеним, завдяки вдалій роботі одного із трьох менеджерів, з якими спілкувався по замовленню (Ігор вміє почути клієнта, зрозуміти суть проблеми та неймовірно швидко її вирішити).
Ведуть трішки нечесну (на мій погляд) роботу по формуванню ціни - на сайті вказують мінімальну ціну, а потім при виставленні реквізитів на оплату, в смс, та й по телефону надбавляють ще ""незрозумілу комісію банку"", - вкажіть це в умовах оплати на сайті, ну і назвіть це якось правильно)
Дякую Вам, успіхів і процвітання!
                        розгорнути
                        згорнути ",positive
"12.04.16 замовив MD818 (доставили швидко, тут питань немає), звичайно ж я уточнив пару раз оригінальний чи кабель, на що отримав позитивну відповідь. Розпакував отриманий кабель я не виявив написів на кабелі, заходимо на сайт Apple і читаємо що повинна бути напис An Apple Lightning to USB cable has &quot;Designed by Apple in California&quot; and either &quot;Assembled in China,&quot; &quot;Assembed in Vietnam,&quot; or &quot; Indústria Brasileira &quot;on the cable about seven inches from the USB connector. Дзвоню в Стилус, пояснюю що немає напису. Відповідають, що кабель оригінал і все. Я прошу якісь документи що підтверджують де був куплений цей кабель, відповідь негативна. Потім мені просто говорять &quot;привозите здавайте&quot;. Втрачати 499 грн на китайському кабелі мені не хотілося (нехай він навіть MFi сертифікований). Привіз кабель в магазин. &quot;Яка причина повернення?&quot; запитують у мене, я відповідаю &quot;ні лого Apple як на оригіналі&quot;, у відповідь &quot;а, зрозуміло&quot;. Через три хвилини мені дають папірець і кажуть пройти в касу, отримую 499 грн і йду. НІ ПАСПОРТИ ні інших документів не попросили. Мда, більше в ваш магазин немає бажання звертатися. Розгорнутим згорнути",negative
"Зірвали передноворічний замовлення, зіпсували празднік.Прічем менеджер весь час (починаючи з 26 грудня) обманював-повідомляв що товар на складі, тільки служба дрставкі перевантажена, три дня сидів удома, чекав доставку, 30 з&#39;ясувалося, що товару немає і коли буде неізвестно.Связался з начальником служби якості, катерина обіцяла розібратися і передзвонити після 7 січня. 25 січня сам подзвонив в магазин-виявляється начальник служби якості і менеджер оформляв замовлення звільнилися і вообщем то нікому пред&#39;являти претензії. наскільки можна всього цього Верма-судити вам я і мої друзі від послуг вишеупомянотго магазину відмовляються і організовуємо антирекламну компанію даного магазину Розгорнутим згорнути",negative
"Замовив корпус і блок живлення (комплект) - зі сторінки http://hard.rozetka.com.ua/zalman_zm_m1_plus_aerocool_vx600/p10615903/ перейшов по посиланню на ""є товар з уцінкою"". В описі причину зниження ціни ""порушена цілісність упаковки"". Загалом як би не критично і знижка була приємна. Замовив 17.03. Доставили в термін 21.03. І все б нічого ...
При огляді виявив, що в посилці відсутня блок живлення. Набрав оператору - ""Альоша"" порадив оплатити і забрати посилку, а з приводу недопоставки звернутися в сервіс по пошті service@rozetka.com.ua. Що я і зробив в той же день, прикріпивши все доки (фото, накладні, чеки, акт прийому передачі від НП, що підтверджує відсутність БП). Додатково звернувся через форму на сайті описавши ситуацію в двох словах.
Результат: через пару днів відгукнувся відділ підтримки (звернення через форму на сайті) - відповідь прозаїчний - смітячи типу, але це була помилка на сайті і ніякого блоку живлення бути не повинно, можете повернути або обміняти товар, на сайті блок є, в накладній є , є навіть папірець супровідна для блоку живлення, і він також вписаний в гарантійному талоні ""розетки"". АЛЕ - сорри його типу немає і не повинно бути))) а юрист мій каже - всі документи є, боки не твої ...
Сам корпус без захисних плівок, упаковка дійсно пошкоджена, присутні сліди використання ... але коли в ціні є блок живлення, це не критично і типу як знаєш, на що йдеш ...
Служба сервісу до слова так і не відповіла. Сьогодні вважай тиждень з моменту звернення. Корпус назад поки не відправляв, думав може сервіс закине втрачений блок або знижку за свої боки організовує на покупку нового БП. Вкрай засмучений ... хотів було навіть скасувати пару наступних замовлень, що їдуть з розетки, але не став)
Коротше, магазин ніби як нічесь, але сервіс такий собі. Кисле післясмак від покупки ...
                        Розгорнутим
                        згорнути",positive
"24.10.19 Замовив у них парогенератор і відразу його оплатив, оскільки знаю цей магазин давно. На сайті була дуже хороша ціна. На наступний день мені передзвонили вранці і підтвердили моє замовлення, навіть підтвердили час, в яке я попросив мені доставити Найнеприємніше на їхньому сайті - це те, що з тебе відразу беруть оплату за доставку, а також якусь комісію за оплату в розмірі 5 % !!!!!!!!! ну ладно, оплатив ... через кілька годин мені передзвонює якийсь менеджер і каже що товару немає в наявності і вони скасовують замовлення. Я сказав що готовий почекати, але мені відмовили. На сайті до сих пір висить інформація що товар в наявності, але за ціною в 2 рази вище. Написав заяву в поліцію. минуло 10 днів. товар до сих пір світитися на сайті в наявності, але мені відмовили привезти його за тією ціною, по якій я оплатив. Заодно подивимося як працює наша поліція! Вкрай не рекомендую даний магазин. Розгорнутим згорнути",negative
"Зробив замовлення 5.02.2016г.получіл товар по Новій пошті 8.02.2016г.Бистро! Спасибі! Але оперативна пам'ять не підійшла за параметрами до мого комп'ютера (при запуску системи темний екран монітора) З трьох штук була розкрита тільки одна упаковка модуля оперативної пам'яті для тесту (вставив, не працює, вийняв) Відправив на повернення товар через Нову пошту 10.02.2016г. товар ви отримали 12.02.16г. (Відстежив за номером експрес накладної на сайті Нової пошти) Але на мій телефон від вас прийшла sms про отримання вами товару тільки 15.02.!? Сьогодні 17.02 .Рішення вашого з повернення товару нет.Товар був відправлений в ідеальному стані! .Гроші за товар я не вимагаю, хотів зробити перезаказа на відповідний мені товар.Время йде, а ціни на сайті магазина Розетка змінюються кожен день.Вас затягування часу з вирішення питання може і влаштовує, а ваших клієнтів абсолютно немає!
                        Розгорнутим
                        згорнути",positive
"Волею долі купував в Розетці тільки освітлювання прилади (замовлення №№ 425796, 425797, 1348674), хоча задекларований асортимент товарів вражає уяву.
Вибір товару - дуже доречно впровадження на сайті фільтрів для вибору і порівняння товарів, без них гортати каталоги можна було б вічно. Багато інтернет-магазини з широким асортиментом товарів використовують на сайтах класифікатори та фільтри, але не багато хто робить це вдало. У Розетки вибір товару, на мій погляд, реалізований вдало.
Оформлення замовлення - через корзину, зручно, швидко, менеджери передзвонювали досить оперативно.
Наявність - по всіх трьох замовленнями товари були в наявності, що навіть трохи здивувало.
Оплата - ніяких передоплат (принаймні для доставки до Дніпропетровська), все за фактом отримання товару. Для солідного інтернет-магазину це стандарт, але все одно радує.
Доставка - тут, на жаль, ложка дьогтю присутній.
Перші два замовлення оформляв близько року тому з доставкою на склад-представництво. Спочатку по ним товар прийшов не в повному комплекті (один зі світильників забули в коробку покласти). Робота складу-представництва в Дніпропетровську була вельми слабкою, хлопці реально не розбиралися ні в своїх же записах, ні в тому, що у них де лежить. Та й особливої ​​ввічливістю і увагою до проблем клієнта, якому недопоставлений товар, не відрізнялися. Так чи інакше, протягом тижня вдалося погодити з київським менеджером допоставку і замовлені світильники в повному комплекті вдалося забрати.
За останнім замовленням (оформляв два тижні тому) зупинився на кур'єрською адресній доставці - нарікань з доставки немає.
Ще один момент. Доставка в регіони не сама оперативна (в Дніпропетровськ 4-5 днів), для мене це цілком прийнятно (прекрасно розумію, що купую не в супермаркеті, а через інтернет), але для кого-то може виявитися критичним.
В цілому магазин рекомендую, але ставитеся з увагою до питань доставки.
                        Розгорнутим
                        згорнути",positive
"Зробила замовлення в магазині стилус на iPhone 6s 16 gb, приїхала забирати телефон в той же день, при включенні видало збій активації, продавець сказав то це шлюб і рідкість для магазину, попросила зробити ще одне замовлення на такий же телефон, зателефонувавши через пару днів виявилося що на мене ніяких замовлень немає ... оформила ще раз по телефону, поїхала в магазин на наступний день, перевіряючи телефон виникає така ж проблема як і з першим, вже інший продавець так само говорить що шлюб і рідкість, хоча факт що два телефони поспіль приїхали з браком ... магазин через з лягала ситуації запропонував зробити символічну знижку на третій замовлення, я сказала що подумаю і зателефоную, зателефонувала через пів години дізнатися яку знижку зможуть зробити, оператор сказала що уточнить і передзвонить, тиша ... дзвоню ще раз нагадати про себе, інший оператор каже що передасть про мій дзвінок дівчинці яка приймала перший дзвінок і вона обов&#39;язково передзвонить, пройшло вже 4 дня і нікого так і не передзвонив ... Не раджу даний магазин !!! і погані відгуки у себе на сторінці вони не виставляють !!! 2 рази їм писала відгук, але виставляють вони т тілько хорошие !!! номера замовлень 622711/624660 Розгорнутим згорнути",negative
"Купував пральну машину з безкоштовною доставкою в інтернет-магазині Розетка. При оплаті картою на сайті інтернет-супермаркету Розетка виявилося, що за доставку з мене стягнуто 200 грн. Спочатку я написав у формі зворотного зв'язку щодо повернення мені коштів за доставку. На превеликий жаль відповіді я не дочекався. Після цього довго намагався додзвонитися до колл-центру Розетки, щоб вияснити причину стягнення коштів за доставку. Колл-центр інтернет-магазину постійно перевантажений, що за міськими, що безкоштовним номерами, незалежно від часу доби та дня тижня. Завдяки терпінню та наполегливості, прослухавши незліченну кількість хвилин музичний супровід в режимі очікування автовідповідача, я додзвонився до Розетки! Консультант колл-центру спочатку заявив мені, що акція з безкоштовної доставки проводиться виключно на території Києва. Після мого заперечення, що умовами акції не було передбачено обмеження за географічним розташуванням, працівник Розетки попросив час на уточнення, та врешті-решт визнав, що інтернет-магазин Розетка помилково стягнув з мене кошти за доставку. До речі, цей працівник повідомив мене, що не треба було одразу розраховуватись карткою на сайті інтернет-магазину, а створити замовлення, оформити його та чекати на дзвінок менеджера (або самому зателефонувати). Ось як, виявляється помилки інтернет-магазину має відслідковувати покупець! Потім до мене перетелефонував інший працівник інтернет-магазину, підтвердив помилковість стягнутої суми за доставку та запропонував на суму доставки 200 грн. подарунковий сертифікат на таку ж суму. Я відмовився - хто мав справу з подарунковими сертифікатами Розетки, можна лише поспівчувати (я теж серед них), а хто ні - прочитайте коментарі про сертифікати Розетки нижче, там все яскраво описано. Тоді мені запропонували заповнити форму про повернення коштів за товар (за товар!!!), для чого необхідно заповнити та роздрукувати заяву, надіслану мені на поштову скриньку, власноруч підписати її, сфотографувати та відправити її за зворотною адресою разом з копією сторінок паспорта. Я відмовився, що і треба було працівнику інтернет-магазину Розетка. Наша розмова записувалась і в інтернет-супермаркету є беззаперечні докази моєї відмови. Гроші я так розумію пропали. В мене виникає лише питання, чому через помилку магазину Розетка, має нести відповідальність покупець та чому не можна повернути кошти на ту саму карту, без додаткової бюрократичної тяганини. Відповідь я думаю ви всі знаєте. Я не рекомендую купувати що-небудь у Розетці.
                        розгорнути
                        згорнути ",negative
"я завжди раніше вибирав магазин ""РОЗЕТКА"" через зручну доставку. На сайті обіцяють доставку безкоштовну по м.Києву. А потім передзвонюють і кажуть , що не можуть доставити по моїй адресі, на котру раніше возили без проблем. Лише уявіть, кажуть: ""ми не можемо доставити на вулицю Березневу, але можемо привезти на вул.Леніна""!!! При чому тут ""Леніна"", я там не проживаю?? Відповідають: ""Просто кур""єрська доставка може доїхати лише туди, а до вул Березневої (різниця у відстані 2км) - ні"". Ціна питання - 6300 грн. Передзвонювали цілий день.... Я вже кажу: ""Скільки буде коштувать доставка на мою вулицю, адже у вас є можливість доставки по всій Україні?"" . Мовчать. В результаті купив в іншому магазині на 300 грн дешевше.
                        розгорнути
                        згорнути ",negative
