id,label
1,positive
2,negative
3,negative
4,positive
5,negative
6,positive
7,positive
8,negative
9,negative
10,negative
11,positive
12,negative
13,negative
14,negative
15,positive
16,negative
17,negative
18,negative
19,negative
20,positive
21,positive
22,negative
23,negative
24,positive
25,positive
26,negative
27,positive
28,positive
29,negative
30,negative
31,negative
32,negative
33,negative
34,negative
35,positive
36,negative
37,negative
38,positive
39,negative
40,negative
41,positive
42,negative
43,negative
44,negative
45,positive
46,negative
47,negative
48,negative
49,negative
50,negative
51,negative
52,negative
53,negative
54,positive
55,negative
56,negative
57,negative
58,negative
59,negative
60,positive
61,negative
62,positive
63,negative
64,negative
65,negative
66,negative
67,positive
68,negative
69,positive
70,negative
71,negative
72,positive
73,negative
74,negative
75,negative
76,negative
77,negative
78,negative
79,negative
80,negative
81,positive
82,positive
83,negative
84,positive
85,negative
86,negative
87,negative
88,negative
89,positive
90,negative
91,negative
92,positive
93,negative
94,negative
95,negative
96,positive
97,negative
98,negative
99,negative
100,positive
101,negative
102,negative
103,negative
104,negative
105,positive
106,negative
107,positive
108,negative
109,negative
110,negative
111,negative
112,negative
113,negative
114,negative
115,negative
116,negative
117,negative
118,positive
119,negative
120,negative
121,positive
122,positive
123,negative
124,negative
125,negative
126,negative
127,negative
128,negative
129,negative
130,negative
131,positive
132,negative
133,negative
134,positive
135,positive
136,negative
137,negative
138,negative
139,positive
140,negative
141,positive
142,negative
143,negative
144,negative
145,positive
146,positive
147,positive
148,positive
149,negative
150,positive
151,negative
152,positive
153,positive
154,positive
155,negative
156,negative
157,negative
158,positive
159,positive
160,negative
161,positive
162,positive
163,negative
164,negative
165,negative
166,negative
167,positive
168,negative
169,negative
170,negative
171,negative
172,negative
173,negative
174,positive
175,negative
176,negative
177,negative
178,negative
179,negative
180,negative
181,negative
182,negative
183,negative
184,negative
185,negative
186,positive
187,negative
188,negative
189,positive
190,negative
191,negative
192,negative
193,negative
194,positive
195,negative
196,positive
197,negative
198,negative
199,negative
200,positive
201,positive
202,positive
203,negative
204,negative
205,negative
206,positive
207,negative
208,negative
209,positive
210,negative
211,negative
212,negative
213,positive
214,negative
215,negative
216,negative
217,negative
218,positive
219,positive
220,positive
221,negative
222,negative
223,positive
224,negative
225,positive
226,negative
227,positive
228,negative
229,positive
230,negative
231,negative
232,positive
233,negative
234,negative
235,negative
236,negative
237,positive
238,negative
239,positive
240,negative
241,negative
242,positive
243,negative
244,positive
245,negative
246,positive
247,positive
248,negative
249,negative
250,negative
251,positive
252,negative
253,positive
254,positive
255,negative
256,negative
257,negative
258,positive
259,negative
260,negative
261,negative
262,positive
263,negative
264,negative
265,negative
266,positive
267,positive
268,negative
269,negative
270,negative
271,negative
272,positive
273,negative
274,positive
275,negative
276,negative
277,negative
278,positive
279,negative
280,positive
281,negative
282,positive
283,negative
284,negative
285,negative
286,positive
287,positive
288,positive
289,positive
290,negative
291,negative
292,positive
293,negative
294,negative
295,negative
296,negative
297,negative
298,negative
299,negative
300,negative
301,positive
302,negative
303,positive
304,positive
305,positive
306,positive
307,positive
308,positive
309,positive
310,positive
311,negative
312,negative
313,negative
314,negative
315,positive
316,positive
317,positive
318,positive
319,positive
320,positive
321,negative
322,negative
323,negative
324,negative
325,negative
326,negative
327,negative
328,negative
329,positive
330,negative
331,negative
332,negative
333,positive
334,negative
335,negative
336,negative
337,negative
338,negative
339,positive
340,positive
341,negative
342,negative
343,negative
344,negative
345,positive
346,positive
347,negative
348,negative
349,negative
350,negative
351,negative
352,negative
353,negative
354,negative
355,negative
356,negative
357,negative
358,positive
359,positive
360,positive
361,negative
362,negative
363,negative
364,negative
365,positive
366,negative
367,negative
368,negative
369,positive
370,negative
371,negative
372,negative
373,positive
374,negative
375,positive
376,negative
377,positive
378,negative
379,positive
380,negative
381,negative
382,negative
383,negative
384,positive
385,negative
386,positive
387,negative
388,negative
389,negative
390,negative
391,negative
392,negative
393,negative
394,positive
395,negative
396,negative
397,negative
398,negative
399,negative
400,positive
401,negative
402,negative
403,negative
404,negative
405,positive
406,negative
407,positive
408,positive
409,negative
410,negative
411,positive
412,positive
413,positive
414,negative
415,negative
416,positive
417,negative
418,positive
419,negative
420,positive
421,positive
422,positive
423,positive
424,negative
425,positive
426,negative
427,negative
428,negative
429,positive
430,positive
431,negative
432,negative
433,negative
434,negative
435,negative
436,negative
437,negative
438,negative
439,positive
440,negative
441,positive
442,negative
443,positive
444,positive
445,negative
446,negative
447,negative
448,positive
449,positive
450,positive
451,positive
452,negative
453,positive
454,negative
455,positive
456,positive
457,positive
458,positive
459,negative
460,positive
461,positive
462,negative
463,negative
464,positive
465,positive
466,negative
467,negative
468,positive
469,negative
470,negative
471,positive
472,positive
473,positive
474,positive
475,positive
476,negative
477,negative
478,negative
479,positive
480,negative
481,positive
482,negative
483,negative
484,negative
485,negative
486,negative
487,positive
488,negative
489,negative
490,positive
491,negative
492,negative
493,positive
494,negative
495,positive
496,negative
497,negative
498,negative
499,negative
500,positive
501,negative
502,negative
503,positive
504,negative
505,positive
506,negative
507,negative
508,negative
509,negative
510,negative
511,negative
512,positive
513,negative
514,positive
515,negative
516,negative
517,negative
518,negative
519,positive
520,negative
521,positive
522,negative
523,positive
524,negative
525,negative
526,negative
527,negative
528,positive
529,positive
530,negative
531,positive
532,negative
533,negative
534,positive
535,positive
536,negative
537,positive
538,negative
539,positive
540,positive
541,positive
542,negative
543,positive
544,negative
545,negative
546,negative
547,negative
548,negative
549,negative
550,negative
551,negative
552,negative
553,negative
554,negative
555,positive
556,negative
557,positive
558,negative
559,negative
560,negative
561,negative
562,positive
563,positive
564,negative
565,negative
566,negative
567,negative
568,negative
569,negative
570,positive
571,negative
572,negative
573,negative
574,negative
575,positive
576,negative
577,negative
578,negative
579,negative
580,negative
581,positive
582,positive
583,positive
584,negative
585,negative
586,negative
587,negative
588,positive
589,negative
590,positive
591,positive
592,negative
593,negative
594,negative
595,negative
596,positive
597,negative
598,negative
599,negative
600,negative
601,negative
602,negative
603,negative
604,positive
605,positive
606,positive
607,negative
608,negative
609,positive
610,negative
611,negative
612,positive
613,negative
614,negative
615,negative
616,positive
617,positive
618,negative
619,positive
620,negative
621,negative
622,negative
623,negative
624,positive
625,positive
626,negative
627,negative
628,positive
629,negative
630,negative
631,positive
632,positive
633,negative
634,negative
635,negative
636,negative
637,negative
638,positive
639,negative
640,negative
641,negative
642,negative
643,negative
644,positive
645,negative
646,negative
647,positive
648,negative
649,positive
650,negative
651,negative
652,positive
653,positive
